fecha,bloqueos
2026-05-31,99
2026-06-01,99
2026-06-02,97
2026-06-03,96
2026-06-04,89
2026-06-05,89
2026-06-06,86
2026-06-07,89
2026-06-08,90
2026-06-09,93
2026-06-10,95
2026-06-11,91
2026-06-12,90
2026-06-13,82
2026-06-14,77
2026-06-15,51
2026-06-16,51
2026-06-17,50
2026-06-18,44
2026-06-19,43
2026-06-20,43
2026-06-21,31
2026-06-22,11
2026-06-23,0
2026-06-24,0
2026-06-25,1
2026-06-26,1
2026-06-27,1
2026-06-28,1
2026-06-29,0
2026-06-30,0
2026-07-01,0
2026-07-02,0
2026-07-03,0
2026-07-04,0
2026-07-05,0
2026-07-06,0
2026-07-07,0
2026-07-08,0
2026-07-09,0
2026-07-10,0
2026-07-11,0
2026-07-12,0
2026-07-13,0
2026-07-14,0
2026-07-15,0
2026-07-16,0
2026-07-17,0
2026-07-18,0
2026-07-19,0
2026-07-20,0
2026-07-21,0
2026-07-22,0
2026-07-23,0
2026-07-24,0
2026-07-25,0
2026-07-26,0
2026-07-27,0
2026-07-28,0
2026-07-29,0
2026-07-30,0
2026-07-31,0
2026-08-01,0
2026-08-02,0
2026-08-03,0
2026-08-04,0
2026-08-05,0
2026-08-06,0
2026-08-07,0
2026-08-08,0
2026-08-09,0
2026-08-10,0
2026-08-11,0
2026-08-12,0
2026-08-13,0
2026-08-14,0
2026-08-15,0
2026-08-16,0
2026-08-17,0
2026-08-18,0
2026-08-19,0
2026-08-20,1
2026-08-21,0
2026-08-22,0
2026-08-23,0
2026-08-24,1
2026-08-25,0
2026-08-26,1
2026-08-27,2
2026-08-28,1
